rank_among_TFs	EGI	coex_score	rank_genomewide	percentile
443	8060949	0.2408	7325	0.661287339313789
444	8057272	0.2246	7344	0.660408767224637
445	8082008	0.2246	7362	0.6595764357717562
446	8080477	0.2246	7392	0.6581892166836216
447	8086229	0.2246	7429	0.6564783131415888
448	8069817	0.2246	7469	0.6546286876907426
449	110433924	0.2246	7509	0.6527790622398963
450	8060364	0.2084	7519	0.6523166558771849
451	8061037	0.2084	7539	0.6513918431517618
452	8056047	0.2084	7547	0.6510219180615926
453	8078745	0.2084	7549	0.6509294367890502
454	8079379	0.2084	7560	0.6504207897900676
455	8054189	0.2084	7566	0.6501433459724406
456	8068371	0.2084	7570	0.6499583834273559
457	8085075	0.2084	7608	0.648201239249052
458	8071272	0.2084	7645	0.6464903357070193
459	8081186	0.2084	7654	0.646074169980579
460	8081045	0.2084	7658	0.6458892074354943
461	8084565	0.1922	7682	0.6447794321649866
462	8073322	0.1922	7695	0.6441783038934616
463	8081337	0.1922	7706	0.6436696568944789
464	8079193	0.1922	7712	0.6433922130768519
465	8064724	0.1922	7734	0.6423749190788866
466	8065457	0.1922	7807	0.6389993526310922
467	8059030	0.1922	7820	0.6383982243595672
468	8070371	0.1922	7830	0.6379358179968556
469	8059855	0.1922	7832	0.6378433367243133
470	8062912	0.1922	7841	0.6374271709978729
471	8073915	0.1922	7842	0.6373809303616018
472	8070622	0.1922	7853	0.636872283362619
473	8078145	0.1759	7859	0.6365948395449921
474	8066567	0.1759	7890	0.6351613798205864
475	8070283	0.1759	7892	0.635068898548044
476	8060355	0.1759	7900	0.6346989734578747
477	8082594	0.1759	7910	0.6342365670951633
478	8057150	0.1759	7924	0.633589198187367
479	8068692	0.1759	7932	0.6332192730971978
480	8069839	0.1759	7939	0.6328955886432998
481	8076041	0.1759	7953	0.6322482197355035
482	8068483	0.1759	7962	0.6318320540090632
483	8058913	0.1597	8016	0.6293350596504208
484	8055850	0.1597	8027	0.628826412651438
485	8068101	0.1597	8095	0.6256820493849995
486	8058469	0.1435	8156	0.622861370572459
487	8070015	0.1435	8166	0.6223989642097476
488	8076725	0.1435	8169	0.622260242300934
489	8055267	0.1435	8171	0.6221677610283918
490	110434874	0.1435	8211	0.6203181355775456
491	8062279	0.1435	8233	0.6193008415795802
492	8085925	0.1435	8234	0.619254600943309
493	8070469	0.1273	8305	0.615971515768057
494	8059150	0.1273	8322	0.6151854249514473
495	8071499	0.1273	8381	0.6124572274114493
496	8067627	0.1273	8390	0.6120410616850087
497	8077939	0.1273	8422	0.6105613613243318
498	8083514	0.1273	8428	0.610283917506705
499	8085844	0.1273	8447	0.609405345417553
500	8066431	0.1111	8484	0.6076944418755201
501	8070476	0.1111	8527	0.6057060945158605
502	8082122	0.1111	8544	0.6049200036992509
503	8055257	0.1111	8560	0.6041801535189124
504	8055710	0.1111	8584	0.6030703782484047
505	8078982	0.1111	8613	0.6017293997965412
506	8074410	0.1111	8622	0.6013132340701008
507	8055865	0.0949	8677	0.5987699990751874
508	8078365	0.0949	8687	0.5983075927124757
509	8070110	0.0949	8693	0.5980301488948487
510	8071776	0.0949	8787	0.5936835290853602
511	8074162	0.0786	8818	0.5922500693609545
512	8084562	0.0786	8820	0.5921575880884121
513	8054521	0.0786	8821	0.5921113474521409
514	8073481	0.0786	8845	0.5910015721816333
515	8074564	0.0786	8892	0.588828262276889
516	8082696	0.0786	8910	0.5879959308240081
517	8079264	0.0786	8931	0.5870248774623139
518	8057074	0.0624	8970	0.5852214926477388
519	8065582	0.0624	8971	0.5851752520114677
520	110431645	0.0624	9006	0.5835568297419773
521	110436582	0.0624	9073	0.5804587071118099
522	110432445	0.0624	9087	0.5798113382040138
523	8059204	0.0624	9089	0.5797188569314714
524	8073855	0.0624	9092	0.5795801350226579
525	8066077	0.0462	9136	0.5775455470267271
526	8077335	0.0462	9148	0.5769906593914732
527	8065670	0.0462	9154	0.5767132155738464
528	8070748	0.0462	9163	0.5762970498474058
529	8058970	0.0462	9175	0.575742162212152
530	8061538	0.0462	9196	0.5747711088504578
531	8069915	0.0462	9202	0.5744936650328308
532	8055378	0.0462	9212	0.5740312586701193
533	8077043	0.0462	9214	0.573938777397577
