gene_id,n_supporting_contrasts,mean_methyl_diff
LOC110431436,1,-0.208776299717779
LOC8083471,1,-0.208776299717779
LOC8068150,1,-0.208761939212582
LOC8057990,1,-0.208555973513687
LOC8076114,1,-0.208465821096526
LOC8076115,1,-0.208465821096526
LOC8056904,1,-0.207985836594426
LOC8071628,1,-0.207786752724759
LOC8076576,1,-0.207732962517741
LOC8072801,1,-0.207627469296653
LOC110437637,1,-0.207500963221709
LOC8057949,1,-0.207369607046181
LOC110431338,1,-0.207282935492971
LOC8082674,1,-0.207277847170574
LOC110431053,1,-0.207262056959102
LOC8083462,2,-0.207132651894402
LOC8084011,1,-0.207065625818018
LOC110436037,3,-0.20703857104693135
LOC8073475,2,-0.2070192529717085
LOC8078495,1,-0.207007099582309
LOC8060659,1,-0.20698298096934
LOC8084641,3,-0.20695925701132933
LOC8063647,1,-0.206876990900026
LOC8063648,1,-0.206876990900026
LOC8083044,1,-0.206829391609027
LOC8060853,1,-0.206720643656864
LOC8058254,1,-0.206635408866427
LOC110434140,1,-0.20658704673502
LOC8075939,1,-0.206529752340399
LOC110432287,1,-0.206483656460688
LOC110431058,1,-0.206434022197755
LOC8085746,2,-0.2060217181007235
LOC8059838,1,-0.206019550566229
LOC8064471,1,-0.205958392410916
LOC110435793,1,-0.205945718282489
LOC8061555,1,-0.205741939407929
LOC8076963,4,-0.2056752769403795
LOC8074439,3,-0.20558630030774702
LOC8057554,1,-0.205581369314973
LOC8067060,1,-0.205560902415204
LOC8057553,1,-0.205459813620215
LOC8084524,2,-0.20533303586749851
LOC110431923,1,-0.205263592230583
LOC8062226,1,-0.205014736188173
LOC8075215,1,-0.204968454923879
LOC110432600,1,-0.20491278370326
LOC110432459,1,-0.204877267299711
LOC110430026,2,-0.2048514513433765
LOC8079969,1,-0.204828575019361
LOC110430905,1,-0.204731512485036
LOC8075143,1,-0.204556593097896
LOC8062118,1,-0.204528144001738
LOC8065490,1,-0.204513765136676
LOC110434323,1,-0.204504789401372
LOC8059423,1,-0.204488575797285
LOC110436743,1,-0.204448082593152
LOC8056005,1,-0.204411428964566
LOC8054700,1,-0.204357129018342
LOC110435918,1,-0.203977485704186
LOC8063780,1,-0.20373689566283
LOC110432389,1,-0.203409249219378
LOC8063969,2,-0.2033651183967075
LOC8064259,1,-0.203270276978031
LOC8059285,1,-0.203170795694069
LOC8077750,1,-0.2030041006905
LOC110432966,1,-0.202990821887814
LOC8060602,1,-0.202930239973383
LOC110436008,2,-0.202749809377744
LOC8063275,2,-0.202644577499404
LOC8064799,1,-0.202531151858961
LOC8077298,1,-0.202487330856345
LOC110437586,2,-0.20246637257913203
LOC8084813,1,-0.20226989463665
LOC8067744,1,-0.202243583409931
LOC8059893,1,-0.201991556012008
LOC8063516,1,-0.201984615429486
LOC8070645,1,-0.201911182780322
LOC8074867,1,-0.201656956314019
LOC110432705,3,-0.201421826238896
LOC8054777,1,-0.20139697508752
LOC110433143,1,-0.201335367318104
LOC8081169,1,-0.200870233338306
LOC8073446,1,-0.200735686161352
LOC8064655,1,-0.200638960458145
LOC8070786,1,-0.200538458588177
LOC8074949,1,-0.200391499168995
LOC8078059,2,-0.2003834278090585
LOC8073610,1,-0.200243359586623
LOC8059534,2,-0.2002430272439255
LOC8075546,1,-0.200119462008049
LOC8067958,1,-0.200112720150588
LOC8076220,1,-0.20010055819077
LOC8056598,2,-0.2000650442358645
LOC8078516,1,-0.200058184460416
LOC8086232,1,-0.200002777186545
LOC8084188,1,-0.199921313001418
LOC110434378,2,-0.1998777468693195
LOC8066479,1,-0.199794054713899
LOC8083780,1,-0.199594351785866
LOC110435509,1,-0.199571029380973
LOC8058539,2,-0.19929083784881801
LOC110433151,1,-0.199267053339261
LOC8083478,1,-0.199207936311403
LOC110431442,1,-0.199207936311403
LOC8075791,1,-0.199181815946403
LOC8066011,1,-0.199170369592516
LOC8069139,1,-0.199143655591469
LOC110434037,1,-0.198725474792854
LOC110432769,1,-0.198705737196787
LOC8057235,1,-0.198703742656503
LOC8074865,1,-0.198685625885427
LOC8071406,1,-0.198646758267494
LOC110430340,1,-0.198600235311848
LOC8059846,1,-0.198489692523081
LOC8054110,1,-0.198460401526164
LOC110436268,1,-0.198445184280624
LOC8072010,1,-0.198391795459515
LOC110431649,1,-0.198335675537149
LOC110432945,1,-0.197957317546947
LOC8077481,2,-0.197848338886706
LOC8074597,1,-0.197652580082989
LOC8057279,1,-0.197636068292321
LOC8079168,1,-0.197418950569661
LOC110436014,1,-0.197418950569661
LOC8059163,1,-0.197359410402575
LOC8069933,1,-0.197329892378106
LOC8058216,1,-0.197199774431521
LOC8077305,1,-0.197180702604927
LOC8062730,1,-0.197074224420639
LOC8080073,1,-0.197061135587197
LOC8062060,1,-0.196913238588611
LOC8155364,1,-0.19690032436792
LOC8085049,1,-0.196865431460869
LOC8058776,1,-0.196781524364751
LOC8073307,1,-0.19671749629903
LOC8054934,1,-0.196081616553852
LOC8077325,1,-0.196015727644982
LOC8072904,1,-0.195867747629436
LOC8086402,1,-0.195795884192926
LOC110435549,1,-0.195707799762642
LOC8064249,1,-0.195657090937005
LOC110437671,1,-0.195599496444992
LOC110432701,1,-0.195581900654393
LOC110435855,1,-0.195457584480791
LOC110432588,1,-0.194993109660825
LOC8060540,2,-0.19498212432651102
LOC110435745,1,-0.194947949761248
LOC110435244,1,-0.194838553249784
LOC8054657,1,-0.194735658047274
LOC8077663,2,-0.19461334545422548
LOC8060454,1,-0.194455516065333
LOC110437209,1,-0.194251593221907
LOC110432346,1,-0.194117478385314
LOC8080611,1,-0.194113880992157
LOC8058356,2,-0.193930609742346
LOC8081486,2,-0.193882858053021
LOC8060133,1,-0.193809317423729
LOC8082622,1,-0.193796556107621
LOC8073749,1,-0.19356427430992
LOC110432357,1,-0.193522408322307
LOC8072303,2,-0.193417436819534
LOC8079967,1,-0.19335071318009
LOC8070376,1,-0.193252178884197
LOC8054995,1,-0.193068663470743
LOC8082986,1,-0.193048443442731
LOC8085109,2,-0.19298136712552852
LOC110433691,1,-0.192846668920053
LOC8054784,1,-0.192591874577322
LOC8057296,1,-0.192546887532905
LOC8058552,1,-0.192508614076002
LOC8061947,1,-0.192466781331625
LOC8084850,1,-0.19236256429035
LOC8070310,1,-0.192174381219358
LOC8085849,1,-0.192174381219358
LOC110430161,1,-0.192152874995766
LOC8072220,1,-0.192085389157296
LOC110436297,2,-0.19208292118341752
LOC110434324,1,-0.19201026399979
LOC8058421,1,-0.191991325676791
LOC8068001,2,-0.1919441827981395
LOC110432832,1,-0.191786072545204
LOC110436354,1,-0.191770869554206
LOC8071279,2,-0.19171444408160648
LOC8055615,1,-0.191704890739172
LOC8080210,1,-0.191701839106813
LOC110436445,2,-0.191598649305489
LOC110431710,1,-0.191528311554379
LOC8069514,2,-0.191500664254432
