NC_012870.2	1
NW_018397103.1	super_2851
NW_018397104.1	super_2853
NW_018397105.1	super_2859
NW_018397106.1	super_2860
NW_018397107.1	super_2864
NW_018397108.1	super_2868
NW_018397109.1	super_2874
NW_018397110.1	super_2877
NW_018397111.1	super_2880
NW_018397112.1	super_2886
NW_018397112.1	super_2889
NW_018397113.1	super_2886
NW_018397113.1	super_2889
NW_018397114.1	super_2895
NW_018397115.1	super_2899
NW_018397116.1	super_2900
NW_018397117.1	super_2905
NW_018397118.1	super_2910
NW_018397119.1	super_2911
NW_018397120.1	super_2918
NW_018397121.1	super_2919
NW_018397122.1	super_2924
NW_018397123.1	super_2928
NW_018397124.1	super_2930
NW_018397125.1	super_2941
NW_018397126.1	super_2942
NW_018397127.1	super_2947
NW_018397128.1	super_2950
NW_018397129.1	super_2960
NW_018397130.1	super_2962
NW_018397131.1	super_2967
NW_018397132.1	super_2969
NW_018397133.1	super_2972
NW_018397134.1	super_2974
NW_018397135.1	super_2976
NW_018397136.1	super_2977
NW_018397137.1	super_2674
NW_018397137.1	super_2978
NW_018397138.1	super_2979
NW_018397139.1	super_2980
NW_018397140.1	super_2982
NW_018397141.1	super_2983
NW_018397142.1	super_2993
NW_018397143.1	super_3002
NW_018397144.1	super_3005
NW_018397145.1	super_3016
NW_018397146.1	super_3018
NW_018397146.1	super_3073
NW_018397147.1	super_3029
NW_018397148.1	super_3030
NW_018397149.1	super_3034
NW_018397150.1	super_3040
NW_018397151.1	super_3044
NW_018397152.1	super_3049
NW_018397153.1	super_3053
NW_018397154.1	super_3055
NW_018397155.1	super_3056
NW_018397156.1	super_3057
NW_018397157.1	super_3060
NW_018397158.1	super_3062
NW_018397159.1	super_3063
NW_018397160.1	super_3018
NW_018397160.1	super_3073
NW_018397161.1	super_3081
NW_018397162.1	super_3085
NW_018397163.1	super_3088
NW_018397164.1	super_3091
NW_018397165.1	super_3097
NW_018397165.1	super_3281
NW_018397166.1	super_3103
NW_018397167.1	super_3110
NW_018397168.1	super_3113
NW_018397169.1	super_3116
NW_018397170.1	super_3122
NW_018397171.1	super_3127
NW_018397172.1	super_3129
NW_018397173.1	super_3131
NW_018397174.1	super_3132
NW_018397175.1	super_3133
NW_018397176.1	super_3135
NW_018397176.1	super_3263
NW_018397177.1	super_3139
NW_018397178.1	super_3140
NW_018397179.1	super_3142
NW_018397180.1	super_3144
NW_018397181.1	super_3146
NW_018397182.1	super_3162
NW_018397183.1	super_3163
NW_018397184.1	super_3166
NW_018397185.1	super_3170
NW_018397186.1	super_3173
NW_018397187.1	super_3178
NW_018397188.1	super_3180
NW_018397189.1	super_3187
NW_018397190.1	super_3191
NW_018397191.1	super_3193
NW_018397192.1	super_3196
NW_018397193.1	super_3197
NW_018397194.1	super_3202
NW_018397195.1	super_3203
NW_018397196.1	super_3207
NW_018397197.1	super_3213
NW_018397198.1	super_3216
NW_018397199.1	super_3217
NW_018397200.1	super_3219
NW_018397201.1	super_3220
NW_018397202.1	super_3225
NW_018397203.1	super_3228
NW_018397204.1	super_3229
NW_018397205.1	super_3231
NW_018397206.1	super_3236
NW_018397207.1	super_3239
NW_018397208.1	super_3241
NW_018397208.1	super_3242
NW_018397209.1	super_3241
NW_018397209.1	super_3242
NW_018397210.1	super_3247
NW_018397211.1	super_3248
NW_018397212.1	super_3252
NW_018397213.1	super_3255
NW_018397214.1	super_3257
NW_018397215.1	super_3262
NW_018397216.1	super_3135
NW_018397216.1	super_3263
NW_018397217.1	super_3264
NW_018397218.1	super_3266
NW_018397219.1	super_3267
NW_018397220.1	super_3268
NW_018397221.1	super_3269
NW_018397221.1	super_3270
NW_018397222.1	super_3269
NW_018397222.1	super_3270
NW_018397223.1	super_3273
NW_018397224.1	super_3276
NW_018397225.1	super_3278
NW_018397226.1	super_3097
NW_018397226.1	super_3281
NW_018397227.1	super_3282
NW_018397228.1	super_3283
NW_018397229.1	super_3284
NW_018397230.1	super_3286
NW_018397231.1	super_3287
NW_018397232.1	super_3288
NW_018397233.1	super_3290
NW_018397234.1	super_3291
NW_018397235.1	super_3294
NW_018397236.1	super_3295
NW_018397237.1	super_3297
NW_018397238.1	super_3299
NW_018397239.1	super_3300
NW_018397240.1	super_3301
NW_018397241.1	super_3304
NW_018397242.1	super_3305
NW_018397243.1	super_3308
NW_018397244.1	super_3309
NW_018397245.1	super_3310
NW_018397246.1	super_3312
NW_018397247.1	super_3314
NW_018397248.1	super_3316
NW_018397249.1	super_3319
NW_018397250.1	super_3320
NW_018397251.1	super_3322
NW_018397252.1	super_3323
NW_018397253.1	super_3326
